,model,dataset_key,augmentation,param1_name,param1_value,param2_name,param2_value,BeetleFly,CinCECGTorso,ECG5000,FiftyWords,Ham,MoteStrain,OliveOil,PhalangesOutlinesCorrect,ScreenType,ShapesAll,,,,,,,,,,,
0,,,,,,,,0.9,0.865,0.945,0.84,0.714,0.929,0.933,0.831,0.48,0.927,,,,,,,,,,,
1,minirocket,3,scaling,sigma,0.1,,,,,,,,,,,,,,,,,,,,,,,
2,minirocket,3,scaling,sigma,0.5,,,,,,,,,,,,,,,,,,,,,,,
3,minirocket,3,permutation,max_segments,5,seg_mode,equal,,,,,,,,,,,,,,,,,,,,,
4,minirocket,3,permutation,max_segments,5,seg_mode,random,,,,,,,,,,,,,,,,,,,,,
5,minirocket,3,permutation,max_segments,2,seg_mode,equal,,,,,,,,,,,,,,,,,,,,,
6,minirocket,3,permutation,max_segments,4,seg_mode,equal,,,,,,,,,,,,,,,,,,,,,
7,minirocket,3,permutation,max_segments,6,seg_mode,equal,,,,,,,,,,,,,,,,,,,,,
8,minirocket,3,permutation,max_segments,8,seg_mode,equal,,,,,,,,,,,,,,,,,,,,,
9,minirocket,3,permutation,max_segments,10,seg_mode,equal,,,,,,,,,,,,,,,,,,,,,
10,minirocket,3,magnitude_warp,sigma,0.2,knot,2,0.7,0.643,0.929,0.516,0.714,0.897,0.4,0.698,0.429,0.617,,,,,,,,,,,
11,minirocket,3,magnitude_warp,sigma,0.2,knot,4,0.7,0.608,0.909,0.411,0.629,0.856,0.3,0.663,0.419,0.442,,,,,,,,,,,
12,minirocket,3,magnitude_warp,sigma,0.2,knot,6,0.8,0.525,0.912,0.367,0.59,0.816,0.2,0.666,0.432,0.363,,,,,,,,,,,
13,minirocket,3,magnitude_warp,sigma,0.2,knot,8,0.7,0.563,0.908,0.393,0.638,0.871,0.4,0.627,0.408,0.328,,,,,,,,,,,
14,minirocket,3,magnitude_warp,sigma,0.2,knot,10,0.6,0.477,0.913,0.378,0.657,0.843,0.3,0.605,0.4,0.342,,,,,,,,,,,
15,minirocket,3,magnitude_warp,sigma,0.4,knot,2,,,,,,,,,,,,,,,,,,,,,
16,minirocket,3,magnitude_warp,sigma,0.4,knot,4,,,,,,,,,,,,,,,,,,,,,
17,minirocket,3,magnitude_warp,sigma,0.4,knot,6,,,,,,,,,,,,,,,,,,,,,
18,minirocket,3,magnitude_warp,sigma,0.4,knot,8,,,,,,,,,,,,,,,,,,,,,
19,minirocket,3,magnitude_warp,sigma,0.4,knot,10,,,,,,,,,,,,,,,,,,,,,
20,minirocket,3,magnitude_warp,sigma,0.6,knot,2,,,,,,,,,,,,,,,,,,,,,
21,minirocket,3,magnitude_warp,sigma,0.6,knot,4,,,,,,,,,,,,,,,,,,,,,
22,minirocket,3,magnitude_warp,sigma,0.6,knot,6,,,,,,,,,,,,,,,,,,,,,
23,minirocket,3,magnitude_warp,sigma,0.6,knot,8,,,,,,,,,,,,,,,,,,,,,
24,minirocket,3,magnitude_warp,sigma,0.6,knot,10,,,,,,,,,,,,,,,,,,,,,
25,minirocket,3,magnitude_warp,sigma,0.8,knot,2,,,,,,,,,,,,,,,,,,,,,
26,minirocket,3,magnitude_warp,sigma,0.8,knot,4,,,,,,,,,,,,,,,,,,,,,
27,minirocket,3,magnitude_warp,sigma,0.8,knot,6,,,,,,,,,,,,,,,,,,,,,
28,minirocket,3,magnitude_warp,sigma,0.8,knot,8,,,,,,,,,,,,,,,,,,,,,
29,minirocket,3,magnitude_warp,sigma,0.8,knot,10,,,,,,,,,,,,,,,,,,,,,
30,minirocket,3,magnitude_warp,sigma,1,knot,2,,,,,,,,,,,,,,,,,,,,,
31,minirocket,3,magnitude_warp,sigma,1,knot,4,,,,,,,,,,,,,,,,,,,,,
32,minirocket,3,magnitude_warp,sigma,1,knot,6,,,,,,,,,,,,,,,,,,,,,
33,minirocket,3,magnitude_warp,sigma,1,knot,8,,,,,,,,,,,,,,,,,,,,,
34,minirocket,3,magnitude_warp,sigma,1,knot,10,,,,,,,,,,,,,,,,,,,,,
35,minirocket,3,time_warp,sigma,0.2,knot,2,0.7,0.643,0.929,0.516,0.714,0.897,0.4,0.698,0.429,0.617,,,,,,,,,,,
36,minirocket,3,time_warp,sigma,0.2,knot,4,0.7,0.608,0.909,0.411,0.629,0.856,0.3,0.663,0.419,0.442,,,,,,,,,,,
37,minirocket,3,time_warp,sigma,0.2,knot,6,0.8,0.525,0.912,0.367,0.59,0.816,0.2,0.666,0.432,0.363,,,,,,,,,,,
38,minirocket,3,time_warp,sigma,0.2,knot,8,0.7,0.563,0.908,0.393,0.638,0.871,0.4,0.627,0.408,0.328,,,,,,,,,,,
39,minirocket,3,time_warp,sigma,0.2,knot,10,0.6,0.477,0.913,0.378,0.657,0.843,0.3,0.605,0.4,0.342,,,,,,,,,,,
40,minirocket,3,time_warp,sigma,0.4,knot,2,0.5,0.491,0.894,0.345,0.648,0.823,0.3,0.689,0.4,0.343,,,,,,,,,,,
41,minirocket,3,time_warp,sigma,0.4,knot,4,0.6,0.499,0.881,0.262,0.61,0.741,0.267,0.643,0.429,0.255,,,,,,,,,,,
42,minirocket,3,time_warp,sigma,0.4,knot,6,0.4,0.507,0.876,0.275,0.543,0.729,0.2,0.636,0.355,0.212,,,,,,,,,,,
43,minirocket,3,time_warp,sigma,0.4,knot,8,0.5,0.455,0.868,0.253,0.571,0.788,0.533,0.613,0.405,0.152,,,,,,,,,,,
44,minirocket,3,time_warp,sigma,0.4,knot,10,0.5,0.449,0.867,0.229,0.533,0.736,0.3,0.619,0.387,0.183,,,,,,,,,,,
45,minirocket,3,time_warp,sigma,0.6,knot,2,0.8,0.446,0.868,0.281,0.581,0.823,0.333,0.618,0.408,0.288,,,,,,,,,,,
46,minirocket,3,time_warp,sigma,0.6,knot,4,0.45,0.38,0.851,0.207,0.552,0.732,0.433,0.625,0.419,0.17,,,,,,,,,,,
